document_id,document_type,title,approval_status,sharepoint_path,content
DOC-011,Deviation Investigation,Deviation Investigation B2026-0141,Closed,Quality/EnzymeProduction,"Investigation for B2026-0141. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-012,Deviation Investigation,Deviation Investigation B2026-0120,Closed,Quality/EnzymeProduction,"Investigation for B2026-0120. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-013,Deviation Investigation,Deviation Investigation B2026-0161,Closed,Quality/EnzymeProduction,"Investigation for B2026-0161. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-014,Deviation Investigation,Deviation Investigation B2026-0281,Closed,Quality/EnzymeProduction,"Investigation for B2026-0281. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-015,Deviation Investigation,Deviation Investigation B2026-0263,Closed,Quality/EnzymeProduction,"Investigation for B2026-0263. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-016,Technical Report,Process Development Report 1,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-017,Technical Report,Process Development Report 2,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-018,Technical Report,Process Development Report 3,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-019,Technical Report,Process Development Report 4,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-020,Technical Report,Process Development Report 5,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-021,Technical Report,Process Development Report 6,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-022,Technical Report,Process Development Report 7,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-023,Technical Report,Process Development Report 8,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
DOC-024,Technical Report,Process Development Report 9,Approved,Quality/EnzymeProduction,"Process development analysis of enzyme fermentation. Multivariate review included temperature, pH, dissolved oxygen, agitation, feed rate, inoculum age, substrate concentration, activity, purity, and yield."
